,Author,Title paper,Journal,Year,Keywords,Co-authors,labels
1440,AU=İLHAN ATİLLA,[Topiramate-induced reversible auditory hallucination],[EPILEPTIC DISORDERS],[2008],"[topiramate, auditory hallucination]","['Uzar Ertugrul', 'Kutluhan Sueleyman', 'Yurekli Vedat Ali', 'Ilhan Atilla']",1.0
1441,AU=İLHAN ATİLLA,"[Measuring holotranscobalamin II, an early indicator of negative vitamin B-12 balance, by radioimmunoassay in patients with ischemic cerebrovascular disease]",[ANNALS OF HEMATOLOGY],[2008],"[holotranscobalamin II, vitamin B-12 deficiency, ischemic cerebrovascular disease]","['Serefhanoglu Songul', 'Aydogdu Ismet', 'Kekilli Ersoy', 'Ilhan Atilla', 'Kuku Irfan']",1.0
1442,AU=İLHAN ATİLLA,[Pentylenetetrazol-induced kindling seizure attenuated by Ginkgo biloba extract (EGb 761) in mice],[PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY],[2006],"[convulsion, Ginkgo biloba extract (EGb 761), kindling, oxidative injury, valproic acid]","['Ilhan Atilla', 'Iraz Mustafa', 'Kamisli Suat', 'Yigitoglu Ramazan']",1.0
1443,AU=İLHAN ATİLLA,[Late midbrain compression by liquefied fat in a case operated for an acoustic neuroma],[OTOLARYNGOLOGY-HEAD AND NECK SURGERY],[2006],,"['Cokkeser Yasar', 'Ilhan Atilla']",1.0
1444,AU=İÇLİ ATİLLA,[Blood Pressure and Age Are the Main Determinants of Aortic Stiffness],[MEDICAL PRINCIPLES AND PRACTICE],[2017],,"['Guclu Aydin', 'Nar Gokay', 'Icli Atilla', 'Ozhan Nail', 'Sezer Siren']",1.0
1445,AU=İÇLİ ATİLLA,[FREQUENCY OF CARDIOVASCULAR DISEASES AND DRUG USE IN TURKISH ELDERLY POPULATION FOLLOWED UP AT CARDIOLOGY CLINICS: THE ELDERTURK STUDY],[TURKISH JOURNAL OF GERIATRICS-TURK GERIATRI DERGISI],[2017],"[aged, cardiovascular disease, risk factors]","['Zoghi Mehdi', 'Ozyuncu Nil', 'Ozal Ender', 'Cakmak Huseyin Altug', 'Yayla Cagri', 'Icli Atilla', 'Ozyildiz Ali Gokhan', 'Oncel Can Ramazan', 'Akboga Mehmet Kadri', 'Kose Nuri', 'Kucuk Murathan', 'Tokgozoglu Lale']",1.0
1446,AU=İÇLİ ATİLLA,[Tp-e/QT and Tp-e/QTc Ratio in Hemodialysis and Peritoneal Dialysis Patients],[TURKISH NEPHROLOGY DIALYSIS AND TRANSPLANTATION JOURNAL],[2016],"[Tp-e/QT, Tp-e/QTc, Tp-e, QTc, Dialysis]","['Guclu Aydin', 'Sipahioglu Murat Hayri', 'Icli Atilla', 'Alpay Mehmet Fatih', 'Narman Serkan']",1.0
1447,AU=İÇLİ ATİLLA,[The association of plasma oxidative status and inflammation with the development of atrial fibrillation in patients presenting with ST elevation myocardial infarction],[SCANDINAVIAN JOURNAL OF CLINICAL & LABORATORY INVESTIGATION],[2017],"[Antioxidants, atrial fibrillation, inflammation, myocardial infarction, oxidative stress]","['Bas Hasan Aydin', 'Aksoy Fatih', 'Icli Atilla', 'Varol Ercan', 'Dogan Abdullah', 'Erdogan Dogan', 'Ersoy Ibrahim', 'Arslan Akif', 'Ari Hatem', 'Bas Nihal', 'Sutcu Recep', 'Ozaydin Mehmet']",1.0
1448,AU=İÇLİ ATİLLA,[Relationship between Fragmented QRS Complex and Aortic Stiffness in Chronic Hemodialysis Patients],[MEDICAL PRINCIPLES AND PRACTICE],[2017],"[Fragmented QRS complex, Aortic stiffness, Diastolic dysfunction, Hemodialysis]","['Guclu Aydin', 'Nar Gokay', 'Icli Atilla', 'Ozhan Nail', 'Sezer Siren']",1.0
1449,AU=ÖZTÜRK ATİYE,[The effect of surface treatments on the bonding strength of ceramic inlays to dentin],[JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY],[2017],"[AFM, ceramic, microtensile, surface roughness]","['Kara Ozlem', 'Ozturk Atiye Nilgun']",1.0
1450,AU=ÖZTÜRK ATİYE,[Temperature rises during tooth bleaching with different light-curing units],[JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY],[2015],"[light-curing units, laser, thermocouple, bleaching, pulpal health]","['Ozyilmaz Ozgun Yusuf', 'Yavuz Tevfik', 'Sari Tugrul', 'Aykent Filiz', 'Ozturk Atiye Nilgun']",1.0
1451,AU=ÖZTÜRK ATİYE,[Effect of Various Lasers on the Bond Strength of Two Zirconia Ceramics],[PHOTOMEDICINE AND LASER SURGERY],[2015],,"['Kara Ozlem', 'Kara Haluk Baris', 'Tobi Elif Sumeyye', 'Ozturk Atiye Nilgun', 'Kilic Hamdi Sukur']",1.0
1452,AU=ÖZTÜRK ATİYE,[Craniofacial Implant-Retained Auricular Prosthesis: A Case Report],[JOURNAL OF ORAL IMPLANTOLOGY],[2013],"[maxillofacial prosthesis, auricular prosthesis, implant-retained prosthesis, auricular deformities]","['Dilber Erhan', 'Koc Ozlem', 'Ozturk Atiye Nilgun', 'Karamese Mehtap']",1.0
1453,AU=TOPRAK AYBALA,"[Role of the oxidative stress index, myeloperoxidase, catalase activity for cardiac allograft vasculopathy in heart transplant recipients]",[CLINICAL TRANSPLANTATION],[2018],"[angiography, biomarkers, vasculopathy]","['Kargin Ramazan', 'Emiroglu Mehmet Yunus', 'Evlice Mert', 'Celik Mehmet', 'Toprak Aybala Erek', 'Avci Anil', 'Ayturk Mehmet', 'Kulahcioglu Seyhmus', 'Bulut Mustafa', 'Caliskan Mustafa']",1.0
1454,AU=TOPRAK AYBALA,[Serum Concentrations of Galectin-3 in Patients with Coronary Artery Ectasia.],[AMERICAN JOURNAL OF CARDIOLOGY],[2017],"[Coronary Artery Ectasia (CAE), Galectin-3 (Gal-3), x]","['Aciksari Gonul', 'Uygun Turgut', 'Atici Adem', 'Aciksari Kurtulus', 'Toprak Aybala Erek', 'Onur Imran', 'Yilmaz Yusuf', 'Cekin Muhammed Esad', 'Yalcinkaya Emre', 'Caliskan Mustafa']",1.0
1455,AU=TOPRAK AYBALA,[Chemerin as a marker of subclinical cardiac involvement in psoriatic patients],[CARDIOLOGY JOURNAL],[2017],"[chemerin, flow-mediated dilatation, epicardial fat tissue, psoriasis]","['Aksu Feyza', 'Caliskan Mustafa', 'Keles Nursen', 'Toprak Aybala Erek', 'Uzuncakmak Tugba Kevser', 'Kostek Osman', 'Yilmaz Yusuf', 'Demircioglu Kenan', 'Cekin Esad', 'Ozturk Ibrahim', 'Karadag Ayse Serap']",1.0
1456,AU=TOPRAK AYBALA,[Mean Platelet Volume in Heterrozygous Beta Thallassaermia],[ACTA HAEMATOLOGICA],[2017],"[Mean platelet volume, Heterozygous beta thalassaemia, Cerebrovascular ischaemic event, Cardiovascular ischaemic event]","['Cikrikcioglu Mehmet Ali', 'Celik Kenan', 'Ekinci Iskender', 'Nasifov Muharrem', 'Toprak Aybala Erek', 'Cetin Guven', 'Genc Sema']",1.0
1457,AU=TOPRAK AYBALA,"[Evaluation of Cardiovascular Risk Factors, Haematological and Biochemical Parameters, and Serum Endocan Levels in Patients with Lichen Planus]",[DERMATOLOGY],[2016],"[Biochemical parameters, Cardiovascular risk factors, Endocan, Haematological parameters, Lichen planus]","['Ozlu Emin', 'Karadag Ayse Serap', 'Toprak Aybala E.', 'Uzuncakmak Tugba K.', 'Gerin Fethullah', 'Aksu Feyza', 'Ozakpinar Ozlem', 'Akdeniz Necmettin']",1.0
1458,AU=GÜR AYCAN,[A kinetic study on leaching of colemanite in ammonium nitrate solutions],[CHINESE JOURNAL OF INORGANIC CHEMISTRY],[2008],"[boron minerals, colemanite, leaching kinetics, ammonium nitrate, boric acid]",['Gur Aycan'],1.0
1459,AU=GÜR AYCAN,[Exploring thermodynamics and kinetic parameters of immobilized catalase enzyme via adsorption on krill clay],[DESALINATION AND WATER TREATMENT],[2017],"[Adsorption, Catalase enzyme, Immobilization, Kinetics, Krill clay, Thermodynamics]","['Nas Mehmet Salih', 'Gur Aycan', 'Gur Tugba', 'Yonten Vahap']",1.0
1460,AU=GÜR AYCAN,[PHOTON ATTENUATION PROPERTIES OF CONCRETES CONTAINING MAGNETITE AND LIMONITE ORES],[PHYSICOCHEMICAL PROBLEMS OF MINERAL PROCESSING],[2017],"[magnetite, limonite, cement, radiation shielding, WinXCom]","['Gur Aycan', 'Artig Birol', 'Cakir Tahir']",1.0
1461,AU=GÜR AYCAN,[INVESTIGATION OF KINETICS AND MECHANISM OF PRICEITE LEACHING IN SULPHURIC ACID SOLUTIONS],[PHYSICOCHEMICAL PROBLEMS OF MINERAL PROCESSING],[2015],"[boron minerals, priceite, sulphuric acid, leaching kinetics, boric acid]",['Gur Aycan'],1.0
1462,AU=GÜR AYCAN,"[A Novel pH-Responsive p(AAm-co-METAC)/MMT Composite Hydrogel: Synthesis, Characterization and Its Absorption Performance on Heavy Metal Ions]",[POLYMER-PLASTICS TECHNOLOGY AND ENGINEERING],[2015],"[Hydrogel/clay composite, 2-(methacryloyloxy)ethyltrimethyl ammonium chloride, Hydrogel/clay composite, Removing heavy metals]","['Ilgin Pinar', 'Durak Halil', 'Gur Aycan']",1.0
1463,AU=TELLİOĞLU AYDA,"[Seasonal variations in the species diversity of planktonic rotifers in the pertek region of Keban Dam Lake, Turkey]",[JOURNAL OF FRESHWATER ECOLOGY],[2007],,"['Tellioglu Ayda', 'Akman Fatih']",1.0
1464,AU=TELLİOĞLU AYDA,[Fatty Acid Composition of Chironomidae Larvae in Different Seasons],[ASIAN JOURNAL OF CHEMISTRY],[2012],"[Chironomidae larvae, Fatty acids, Seasonal variation]","['Kara Tuba', 'Tellioglu Ayda', 'Aydin Sevinc']",1.0
1465,AU=TELLİOĞLU AYDA,"[The Digestive System Content of Mastacembelus mastacembelus (Banks & Solander, 1794) Inhabiting in Karakaya Dam Lake (Malatya-Turkey)]",[TURKISH JOURNAL OF FISHERIES AND AQUATIC SCIENCES],[2010],"[Mastacembelus mastacembelus, digestive system, stomach contents, Karakaya Dam Lake]","['Pala Gunes', 'Tellioglu Ayda', 'Eroglu Mucahit', 'Sen Dursun']",1.0
1466,AU=TELLİOĞLU AYDA,"[Seasonal Abundance of Chironomidae Larvae (Diptera) in Buyuk Stream, Elazig, Turkey]",[JOURNAL OF FRESHWATER ECOLOGY],[2009],,"['Tellioglu Ayda', 'Kara Tuba']",1.0
1467,AU=OKAY AYDEMİR,[MA and doctoral public relations research in Turkey (1984-2007): A quantitative study of dissertations contribution to public relations field],[PUBLIC RELATIONS REVIEW],[2008],"[public relations education, Turkey, MA and doctoral dissertations, quantitative research]","['Okay Aydemir', 'Okay Ayla']",1.0
1468,AU=BORA AYDIN,[Radiological and clinical course of pneumonia in patients with avian influenza H5N1],[EUROPEAN JOURNAL OF RADIOLOGY],[2007],"[avian-flu, lower respiratory tract infections, chest X-ray, clinic]","['Bay Ali', 'Etlik Omer', 'Oner A. Faik', 'Unal Ozkan', 'Arslan Halil', 'Bora Aydin', 'Davran Ramazan', 'Yuca Sevil Art', 'Dogan Murat']",1.0
1469,AU=BORA AYDIN,[Ultrasonic Elastography Evaluation in Optic Neuritis],[SEMINARS IN OPHTHALMOLOGY],[2018],"[Optic nerve optic nerve diameter, optic nerve stiffness, ultrasonic elastography, ultrasonography]","['Batur Muhammed', 'Batur Abdussamet', 'Cilingir Vedat', 'Seven Erbil', 'Cinal Adnan', 'Bora Aydin', 'Yasar Tekin']",1.0
1470,AU=BORA AYDIN,[The Possible Effects of Altitude and Climate on the Development of the Frontal Sinus in Adults],[INTERNATIONAL JOURNAL OF MORPHOLOGY],[2017],"[Frontal Sinus, Paranasal CT scans, Altitude, Climate, Allen's Rule]","['Asirdizer Mahmut', 'Tatlisumak Ertugrul', 'Bora Aydin', 'Tarhan Serdar', 'Ovali Gulgun Yilmaz', 'Hekimoglu Yavuz', 'Kartal Erhan', 'Keskin Siddik']",1.0
1471,AU=BORA AYDIN,[Pulsatility Index of Popliteal Artery in Patients with Isolated Calf Vein Thrombosis: A Novel Technique for Detecting Thrombosis],[POLISH JOURNAL OF RADIOLOGY],[2017],"[Popliteal Artery, Ultrasonography, Doppler, Pulsed, Venous Thrombosis]","['Batur Abdussamet', 'Polat Vural', 'Ozgokce Mesut', 'Alpaslan Muhammed', 'Yavuz Alpaslan', 'Arslan Harun', 'Bora Aydin', 'Sakarya Mehmet Emin']",1.0
1472,AU=BORA AYDIN,[Contribution of diffusion weighted MRI to diagnosis and staging in gastric tumors and comparison with multi-detector computed tomography],[RADIOLOGY AND ONCOLOGY],[2017],"[gastric cancer, diffusion weighted imaging, MDCT, staging]","['Arslan Harun', 'Ozbay Mehmet Fatih', 'Calli Iskan', 'Dogan Erkan', 'Celik Sebahattin', 'Batur Abdussamet', 'Bora Aydin', 'Yavuz Alpaslan', 'Bulut Mehmet Deniz', 'Ozgokce Mesut', 'Kotan Mehmet Cetin']",1.0
1473,AU=DEMİRCAN AYDIN,"[Thermal intramolecular Diels-Alder reaction of furan; Synthesis of nitrogen tetracycles, isobenzofuran and isobenzothiophene]",[JOURNAL OF CHEMICAL RESEARCH-S],[2007],"[intramolecular Diels-Alder, cycloaddition, aromatisation]","['Karaarslan Muhsin', 'Gokturk Ersen', 'Demircan Aydin']",1.0
1474,AU=DEMİRCAN AYDIN,[Structure and vibrational spectra of tert-butyl N-(2-bromcicyclohex-2-enyl)-N-(2-furylmethyl)carbamate],[ACTA PHYSICO-CHIMICA SINICA],[2007],"[DFF, HF, vibrational frequency, molecular calculation, furan, cycloaddition]","['Arslan Hakan', 'Demircan Aydin']",1.0
1475,AU=DEMİRCAN AYDIN,"[3a-bromoperhydro-2,6a-epoxyoxireno[e][2]benzofuran]",[ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE],[2007],,"['Kosar Basak', 'Karaarslan Muhsin', 'Demircan Aydin', 'Bueyuekguengoer Orhan']",1.0
1476,AU=DEMİRCAN AYDIN,"[tert-Butyl 3a-chloro-2-methylperhydro-2,6a-epoxy-oxireno[e] isoindole-5-carboxylate]",[ACTA CRYSTALLOGRAPHICA SECTION E-CRYSTALLOGRAPHIC COMMUNICATIONS],[2007],,"['Kosar Basak', 'Karaarslan Muhsin', 'Yildiz Yasar Kemal', 'Demircan Aydin', 'Buyukgungor Orhan']",1.0
1477,AU=DEMİRCAN AYDIN,[Preparation of heterotricyclic chlorides via intramolecular Diels-Alder reaction of furans],[ASIAN JOURNAL OF CHEMISTRY],[2007],"[intramolecular Diels-Alder, cycloaddition, furfurylchloroalkenes]","['Karaarslan Muhsin', 'Demircan Aydin']",1.0
1478,AU=ECE AYDIN,[The contribution of nitric oxide on the relaxation effects of diethylstilbestrol],[SAUDI MEDICAL JOURNAL],[2008],,"['Hekimoglu Askin', 'Celik Fatma', 'Tas Taskin', 'Ece Aydin', 'Kavak Vatan']",1.0
1479,AU=ECE AYDIN,"[Antioxidant enzyme activities, lipid peroxidation, and total antioxidant status in children with Henoch-Schonlein purpura]",[CLINICAL RHEUMATOLOGY],[2008],"[catalase children, Henoch-Schonlein purpura, malondialdchyde, oxidative stress, paraoxonase]","['Ece Aydin', 'Kelekci Selvi', 'Kocamaz Halil', 'Hekimoglu Askin', 'Balik Hasan', 'Yolbas Ilyas', 'Erel Ozcan']",1.0
1480,AU=ECE AYDIN,[Steroid responsiveness of children with idiopathic nephrotic syndrome in southeastern region of Turkey],[RENAL FAILURE],[2007],"[idiopathic nephrotic syndrome, risk factors, steroid, non-responder, southeast Anatolia]","['Davutoglu Mehmet', 'Ece Aydin', 'Bilici Meki', 'Dagli Abdullah']",1.0
1481,AU=ECE AYDIN,[Efficacy of vitamin E in children with immunotolerant-phase chronic hepatitis B infection],[PEDIATRICS INTERNATIONAL],[2007],"[children, chronic hepatitis B, immunotolerant phase, therapy, vitamin E]","['Dikici Bunyamin', 'Dagli Abdullah', 'Ucmak Hasan', 'Bilici Meki', 'Ece Aydin']",1.0
1482,AU=ECE AYDIN,"[Neutrophil activation, protein oxidation and ceruloplasmin levels in children with Henoch-Schonlein purpura]",[PEDIATRIC NEPHROLOGY],[2007],"[Henoch-Schonlein purpura, oxidative stress, myeloperoxidase, ceruloplasmin, arylesterase, protein oxidation]","['Ece Aydin', 'Kelekci Selvi', 'Hekimoglu Askin', 'Kocamaz Halil', 'Balik Hasan', 'Yolbas Ilyas', 'Erel Ozcan']",1.0
1483,AU=GÜZELOĞLU AYDIN,[Effects of levamisole on pregnancy in ewes],[BULLETIN OF THE VETERINARY INSTITUTE IN PULAWY],[2007],"[ewes, levamisole, immuno-modulation, pregnancy]","['Pancarci Sukru Metin', 'Gungor Orsan', 'Gurbulak Kutlay', 'Cenesiz Metin', 'Kaya Mehmet', 'Cenesiz Sena', 'Guzeloglu Aydin']",1.0
1484,AU=GÜZELOĞLU AYDIN,[Toll-like receptor 2 and 4 expression in the bovine corpus luteum during the different stages of the estrous cycle],[ANIMAL REPRODUCTION],[2017],"[bovine, corpus luteum, toll-like receptors]","['Atli Mehmet Osman', 'Kose Mehmet', 'Kaya Mehmet Salih', 'Aydilek Nurettin', 'Guzeloglu Aydin', 'Wiltbank Milo C.']",1.0
1485,AU=GÜZELOĞLU AYDIN,[Alcoholic extract of Tarantula cubensis induces apoptosis in MCF-7 cell line.],[BIOMEDICAL RESEARCH-INDIA],[2017],"[Tarantula cubensis alcoholic extract, Theranekron, Cytokines, MCF-7, Apoptosis]","['Er Ayse', 'Corum Orhan', 'Corum Duygu', 'Hitit Mustafa', 'Donmez Huseyin', 'Guzeloglu Aydin']",1.0
1486,AU=GÜZELOĞLU AYDIN,[Early pregnancy-related changes in toll-like receptors expression in ovine trophoblasts and peripheral blood leukocytes],[THERIOGENOLOGY],[2017],"[Trophoblasts, Peripheral blood leukocytes, Toll-like receptors, Early pregnancy, Ewe]","['Kaya Mehmet Salih', 'Kose Mehmet', 'Guzeloglu Aydin', 'Kiyma Zekeriya', 'Atli Mehmet Osman']",1.0
1487,AU=GÜZELOĞLU AYDIN,"[Investigation of interferon-tau stimulated genes (ISGs) simultaneously in the endometrium, corpus luteum (CL) and peripheral blood leukocytes (PBLs) in the preluteolytic stage of early pregnancy in ewes]",[SMALL RUMINANT RESEARCH],[2016],"[Interferon-stimulated genes, Pregnancy, Ewes]","['Kiyma Zekeriya', 'Kose Mehmet', 'Atli Mehmet Osman', 'Ozel Caglayan', 'Hitit Mustafa', 'Sen Gonca', 'Kaya Muhammet', 'Kaya Mehmet Salih', 'Kurar Ercan', 'Kayis Seyit Ali', 'Guzeloglu Aydin']",1.0
1488,AU=KURNAZ AYDIN,[A new analytical approximate method for the solution of fractional differential equations],[INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS],[2008],"[fractional differential equations, fractional differential transformation, Adomian decomposition, non-integer order, series solution]","['Oturanc Galip', 'Kurnaz Aydin', 'Keskin Yildiray']",1.0
1489,AU=KURNAZ AYDIN,[An Efficient Approach for Solving Telegraph Equation],[PROCEEDINGS OF THE INTERNATIONAL CONFERENCE OF NUMERICAL ANALYSIS AND APPLIED MATHEMATICS 2014 (ICNAAM-2014)],[2015],"[Fibonacci type bivariate polynomials, telegraph equation, collocation (pseudospectral) method]","['Koc Ayse Betul', 'Kurnaz Aydin']",1.0
1490,AU=KURNAZ AYDIN,[A Matrix Method Based on the Fibonacci Polynomials to the Generalized Pantograph Equations with Functional Arguments],[ADVANCES IN MATHEMATICAL PHYSICS],[2014],,"['Koc Ayse Betul', 'Cakmak Musa', 'Kurnaz Aydin']",1.0
1491,AU=KURNAZ AYDIN,[A new Fibonacci type collocation procedure for boundary value problems],[ADVANCES IN DIFFERENCE EQUATIONS],[2013],"[ordinary differential equations, spectral methods, collocation method, Fibonacci polynomials]","['Koc Ayse Betul', 'Cakmak Musa', 'Kurnaz Aydin', 'Uslu Kemal']",1.0
1492,AU=KURNAZ AYDIN,[A new kind of double Chebyshev polynomial approximation on unbounded domains],[BOUNDARY VALUE PROBLEMS],[2013],"[partial differential equations, pseudospectral-collocation method, matrix method, unbounded domains]","['Koc Ayse Betul', 'Kurnaz Aydin']",1.0
1493,AU=TEMİZER AYDIN,[Examples Of Lessons Of Huzur-i Humaayuun In The Ottoman Critical Edition Of Commentary Text With Dissection And Criticizing II],[JOURNAL OF SAKARYA UNIVERSITY FACULTY OF THEOLOGY],[2015],"[Qur'an, Tafseer, Ottoman, Huzur-i Humaayuun Lesson, Ramadan]",['Temizer Aydin'],1.0
1494,AU=ERTEKİN AYFER,[An Investigation of the Risk Factors and Prevalence of Alzheimer's Disease in the Eastern Region of Turkey A Population Based Door-to-Door Survey],[ELECTRONIC JOURNAL OF GENERAL MEDICINE],[2015],"[Alzheimer's disease, prevalance, epidemiology, risk factors]","['Ertekin Ayfer', 'Demir Recep', 'Ozdemir Gokhan', 'Ozel Lutfi', 'Ozyildirim Ercan', 'Ulvi Hizir']",1.0
1495,AU=ERTEKİN AYFER,[An Investigation of the Risk Factors and Prevalence of Alzheimer's Disease in the Eastern Region of Turkey],[EUROPEAN JOURNAL OF GENERAL MEDICINE],[2015],"[Alzheimer's disease, prevalance, epidemiology, risk factors]","['Ertekin Ayfer', 'Demir Recep', 'Ozdemir Gokhan', 'Ozel Lutfi', 'Ozyildirim Ercan', 'Ulvi Hizir']",1.0
1496,AU=ERTEKİN AYFER,"[Migraine prevalence, disability, and sociodemographic properties in the eastern region of Turkey: a population-based door-to-door survey]",[TURKISH JOURNAL OF MEDICAL SCIENCES],[2014],"[Migraine, prevalence, disability, sociodemographic properties]","['Ozdemir Gokhan', 'Aygul Recep', 'Demir Recep', 'Ozel Lutfi', 'Ertekin Ayfer', 'Ulvi Hizir']",1.0
1497,AU=ERTEKİN AYFER,[The relationship of median nerve F-wave parameters with severity and subtypes of carpal tunnel syndrome],[JOURNAL OF BACK AND MUSCULOSKELETAL REHABILITATION],[2014],"[Carpal Tunnel Syndrome, median nerve F waves, nerve conduction studies, subtypes]","['Aygul Recep', 'Kotan Dilcan', 'Ulvi Hizir', 'Kuyucu Mutlu', 'Ozdemir Gokhan', 'Ertekin Ayfer', 'Odabas Faruk Omer']",1.0
1498,AU=ERTEKİN AYFER,"[Cortical and cerebellar atrophy, but no lesion in a patient with neuro-Behcet's disease]",[WIENER KLINISCHE WOCHENSCHRIFT],[2013],"[Neuro-Behcet's disease, Cerebellar and cortical atrophy, No lesion]","['Varoglu Asuman Orhan', 'Aksoy Asude', 'Kocaturk Idris', 'Ertekin Ayfer', 'Koplay Mustafa', 'Odabas Faruk Omer', 'Ozbek Seda']",1.0
1499,AU=DAĞDELEN AYHAN,[Identifying Antioxidant and Antimicrobial Activities of the Phenolic Extracts and Mineral Contents of Virgin Olive Oils (Olea europaea L. cv. Edincik Su) from Different Regions in Turkey],[JOURNAL OF CHEMISTRY],[2016],,['Dagdelen Ayhan'],1.0
1500,AU=DAĞDELEN AYHAN,[Improvement of Palm Oil Biodiesel Filterability by Adsorption Methods],[JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY],[2015],"[Precipitate, Cold soak filtration time, Bleaching earth, Central composite design]","['Plata Vladimir', 'Haagenson Darrin', 'Dagdelen Ayhan', 'Wiesenborn Dennis', 'Kafarov Viatcheslav']",1.0
1501,AU=DAĞDELEN AYHAN,"[Genetic stability in a predominating Turkish olive cultivar, Gemlik, assessed by RAPD, microsatellite, and AFLP marker systems]",[TURKISH JOURNAL OF BOTANY],[2014],"[AFLP, genetic variation, microsatellites, Olea europaea, RAPD]","['Celikkol Akcay Ufuk', 'Ozkan Gulcan', 'San Bekir', 'Dolgun Oguz', 'Dagdelen Ayhan', 'Bozdogan Konuskan Dilsat']",1.0
1502,AU=DAĞDELEN AYHAN,[Isolation and expression analysis of cDNAs that are associated with alternate bearing in Olea europaea L. cv. Ayvalik],[BMC GENOMICS],[2013],"[Olive, Olea europaea L, Periodicity associated genes, Gene onthology, KEGG]","['Dundar Ekrem', 'Suakar Oznur', 'Unver Turgay', 'Dagdelen Ayhan']",1.0
1503,AU=DAĞDELEN AYHAN,"[Phenolics profiles of olive fruits (Olea europaea L.) and oils from Ayvalik, Domat and Gemlik varieties at different ripening stages]",[FOOD CHEMISTRY],[2013],"[Olive, Fruit, Ripening period, Oil, Organic acids, Phenolic compounds]","['Dagdelen Ayhan', 'Tumen Gulendam', 'Ozcan Mehmet Musa', 'Dundar Ekrem']",1.0
1504,AU=KİRAZ AYHAN,[ALORT: a transport layer protocol using adaptive loss recovery method for WSN],[SADHANA-ACADEMY PROCEEDINGS IN ENGINEERING SCIENCES],[2017],"[WSN, transport protocol, reliability, sensor network, bit error rate]","['Kiraz Ayhan', 'Cakiroglu Murat']",1.0
1505,AU=KİRAZ AYHAN,[An Adaptation of Circuit Analysis Course to Distance Education With Content Development],[13TH INTERNATIONAL EDUCATIONAL TECHNOLOGY CONFERENCE],[2013],"[Circuit Analysis, Distance Education, Multimedia]","['Celik Fatih', 'Ferikoglu Abdullah', 'Kiraz Ayhan', 'Albayrak Zafer', 'Ekiz Huseyin']",1.0
1506,AU=SÖĞÜT AYHAN,[Correlation of Quality of Life with Clinical Parameters and Eosinophilic Cation Protein Levels in Children with Allergic Rhinoconjunctivitis],[INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY],[2009],"[Allergic rhinoconjunctivitis, Eosinophilic cationic protein, Pediatric rhinoconjunctivitis quality of life questionnaire]","['Yuksel Hasan', 'Yilmaz Ozge', 'Sogut Ayhan', 'Ertan Pelin', 'Onur Ece']",1.0
1507,AU=SÖĞÜT AYHAN,[Attention deficit and hyperactivity symptoms in children with asthma],[JOURNAL OF ASTHMA],[2008],"[attention deficit, hyperactivity, children, quality of life]","['Yuksel Hasan', 'Sogut Ayhan', 'Yilmaz Ozge']",1.0
1508,AU=SÖĞÜT AYHAN,[Effect of adenoidectomy and/or tonsillectomy on cardiac functions in children with obstructive sleep apnea],[ORL-JOURNAL FOR OTO-RHINO-LARYNGOLOGY AND ITS RELATED SPECIALTIES],[2008],"[tonsillectomy, obstructive sleep apnea, adenoidectomy, echocardiography, tissue Doppler]","['Ugur Mehmet Birol', 'Dogan Sait Mesut', 'Sogut Ayhan', 'Uzun Lokman', 'Cinar Fikret', 'Altin Remzi', 'Aydin Mustafa']",1.0
1509,AU=SÖĞÜT AYHAN,[Evaluation of sleep quality and anxiety-depression parameters in asthmatic children and their mothers],[RESPIRATORY MEDICINE],[2007],"[asthma, anxiety, depression, children, mother, sleep quality]","['Yuksel Hasan', 'Sogut Ayhan', 'Yilmaz Ozge', 'Demet Murat', 'Ergin Dflek', 'Kirmaz Cengiz']",1.0
1510,AU=SÖĞÜT AYHAN,[Visual diagnosis: A child who has acute onset of unusual skin lesions and edema],[PEDIATRICS IN REVIEW],[2006],,"['Acun Ceyda', 'Ustundag Gonca', 'Sogut Ayhan', 'Koca Rafet', 'Numanoglu Gamze']",1.0
1511,AU=USTA AYHAN,[A comparative study on two closely relative Tulipa L. taxa from NE Anatolia],[PLANT SYSTEMATICS AND EVOLUTION],[2008],"[Anatomy, Ecology, Liliaceae, Pollen, Tulipa armena, Tulipa gumusanica, Turkey]","['Coskuncelebi Kamil', 'Terzioglu Salih', 'Turkmen Zafer', 'Makbul Serdal', 'Usta Ayhan']",1.0
1512,AU=USTA AYHAN,[Relationships between environmental variables and wood anatomy of Quercus pontica C. Koch (Fagaceae)],[FRESENIUS ENVIRONMENTAL BULLETIN],[2008],"[altitude, ecological wood anatomy, Quercus pontica, soil properties]","['Yilmaz Murat', 'Serdar Bedri', 'Altun Lokman', 'Usta Ayhan']",1.0
