,Author,Title paper,Journal,Year,Keywords
6175,AU=Isik Dogan,[Assessment of Weed Competition Critical Period in Sugar Beet],[TARIM BILIMLERI DERGISI-JOURNAL OF AGRICULTURAL SCIENCES],[2018],"[Critical period, Nonlinear regression, Weeds, Competition, Sugar beet]"
6176,AU=Isik Dogan,[Therapeutic role of rifampicin in Alzheimer's disease],[PSYCHIATRY AND CLINICAL NEUROSCIENCES],[2018],"[Alzheimer's disease, amyloid beta clearance, neuroprotection, oligomeric amyloid hypothesis, rifampicin]"
6177,AU=Isik Dogan,[Best timing for glyphosate treatments and possible combinations with pre and post-emergence weed control practices in no-till maize],[PHYTOPARASITICA],[2017],"[No-till, Weed control, Maize, Black Sea region of Turkey]"
6178,AU=Cevik Beste,[Who should study music education? A vocational personality approach],[MUSIC EDUCATION RESEARCH],[2013],"[personality, job satisfaction, Holland's theory, music education, pre-service music teachers]"
6179,AU=Cevik Beste,[Understanding music pre-service teachers' vocational satisfaction],[4TH WORLD CONFERENCE ON EDUCATIONAL SCIENCES (WCES-2012)],[2012],"[Pre-service music teacher, job satisfaction, theories of vocational satisfaction, Adam's Equity Theory, Motivation]"
6180,AU=Cevik Beste,[Pre-service music teachers' satisfaction: person-environment fit approach],[BRITISH JOURNAL OF MUSIC EDUCATION],[2012],
6181,AU=Cevik Beste,[Personality self-perceptions of Turkish music pre-service teachers in relation to departmental satisfaction],[INTERNATIONAL JOURNAL OF MUSIC EDUCATION],[2011],"[Big Five model of personality, departmental satisfaction, music education, personality]"
6182,AU=Cevik Beste,[Relationship between pre-service music teachers' personality and motivation for computer-assisted instruction],[MUSIC EDUCATION RESEARCH],[2010],"[personality, music education, computer-assisted instruction, Big Five Model, motivation]"
6183,AU=Viera Rey Denis,[Preparation and Determination of Antimicrobial Property of Cation-Exchanged Ecuadorian Natural Zeolite to be Used as Filler for Polyethylene and Polypropylene Matrices],[JOURNAL OF POLYMERS AND THE ENVIRONMENT],[2018],"[Ecuadorian natural zeolite, Silver-exchanged, Low density polyethylene, Polypropylene, Antibacterial, Composite]"
6184,AU=Sengor Gani Atilla,[Histopathologic study of minced and injected expanded polytetrafluoroethylene (Gore-Tex) in quadriceps muscle of rats for injection laryngoplasty],[AURIS NASUS LARYNX],[2007],"[Gore-Tex, sodium hyaluronate, vocal fold injection, injection medialization, augmentation, glottic insufficiency]"
6185,AU=Sengor Gani Atilla,[Sialendoscopy: Experience With the First 60 Glands in Turkey and a Literature Review],[ANNALS OF OTOLOGY RHINOLOGY AND LARYNGOLOGY],[2010],"[salivary duct, sialadenitis, sialendoscopy, sialolithiasis]"
6186,AU=Aksakal Nur,[Clinical characteristics and treatment results of pediatric B-cell non-Hodgkin lymphoma patients in a single center],[PEDIATRIC HEMATOLOGY AND ONCOLOGY],[2007],"[BFM protocol, chemotherapy, childhood, non-Hodgkin lymphoma]"
6187,AU=Aksakal Nur,[The impact of urinary incontinence on female sexual function],[ADVANCES IN THERAPY],[2006],"[urinary incontinence, femaile sexual function, quality of life, pelvic organ prolapse, FSFI, types of incontinence]"
6188,AU=Aksakal Nur,[Urogenital symptoms of postmenopausal women in Turkey],[MENOPAUSE-THE JOURNAL OF THE NORTH AMERICAN MENOPAUSE SOCIETY],[2007],"[urogenital symptoms, postmenopausal women, Turkey]"
6189,AU=Aksakal Nur,[Three-dimensional assessment of the morphology of the umbilical artery in normal and pre-eclamptic placentas],[JOURNAL OF OBSTETRICS AND GYNAECOLOGY RESEARCH],[2006],"[corrosion casts, human placenta, morphometry, placental arteries]"
6190,AU=Aksakal Nur,[PREVALENCE OF URINARY TRACT INFECTIONS IN WOMEN WITH URINARY INCONTINENCE AND OTHER RISK FACTORS],[JOURNAL OF CLINICAL AND ANALYTICAL MEDICINE],[2017],"[Urinary Incontinence, Urinary Tract Infection, Diabetes Mellitus]"
6191,AU=Fazlioglu Adem,[The effect of varicocele repair on experimental varicocele-induced testicular germ cell apoptosis],[JOURNAL OF ANDROLOGY],[2008],"[infertility, TUNEL]"
6192,AU=Fazlioglu Adem,[A placebo-controlled comparison of the efficiency of triple- and monotherapy in category IIIB chronic pelvic pain syndrome (CPPS)],[EUROPEAN UROLOGY],[2007],"[chronic prostatitis, chronic pelvic pain syndrome, alpha-blocker]"
6193,AU=Fazlioglu Adem,[Percutaneous nephrolithotripsy in horseshoe kidney],[JOURNAL OF ENDOUROLOGY],[2006],
6194,AU=Fazlioglu Adem,[Percutaneous nephrolithotripsy (PNL) for patients with previous open renal surgery],[JOURNAL OF ENDOUROLOGY],[2006],
6195,AU=Fazlioglu Adem,[The effect of smoking on spontaneous passage of distal ureteral stones],[BMC UROLOGY],[2014],"[Ureteral stone, Smoking habits, Nicotine, Distal stones, Spontaneous passage]"
6196,AU=Ozturk M. Halil,[Spinal subdural abscess: A rare cause of low back pain],[JOURNAL OF CLINICAL NEUROSCIENCE],[2008],"[subdural abscess, spinal empyema, spinal subdural abscess]"
6197,AU=Ozturk M. Halil,[Vena cava filter in patients With pulmoner embolism: Long-term results],[EUROPEAN RESPIRATORY JOURNAL],[2013],"[Embolism, Circulation, Longitudinal study]"
6198,AU=Ozturk M. Halil,[Preoperative arterial embolization of large liver hemangiomas],[DIAGNOSTIC AND INTERVENTIONAL RADIOLOGY],[2015],
6199,AU=Ozturk M. Halil,[Percutaneous endovascular removal of intracardiac migrated port A catheter in a child with acute lymphoblastic leukemia],[REVISTA BRASILEIRA DE ANESTESIOLOGIA],[2014],"[Catheter, Cardiac, Migration, Percutaneous]"
6200,AU=Ozturk M. Halil,[Chemoembolization for Neuroendocrine Liver Metastasis],[HEPATO-GASTROENTEROLOGY],[2014],
6201,AU=Aydogmus-Oeztuerk Fatma,[GC-MS Analysis and Antimicrobial Activity of Essential Oil of Stachys cretica subsp smyrnaea],[NATURAL PRODUCT COMMUNICATIONS],[2009],"[Stachys cretica subsp smyrnaea, essential oil, trans-beta-caryophyllene, germacrene-D, antimicrobial activity]"
6202,AU=Akar Mehmet,[A sliding mode theory based chassis controller for vehicle emulation],[2008 INTERNATIONAL WORKSHOP ON VARIABLE STRUCTURE SYSTEMS],[2008],
6203,AU=Akar Mehmet,[Sector conditions for the global stability of high-speed communication networks],"[2008 AMERICAN CONTROL CONFERENCE, VOLS 1-12]",[2008],
6204,AU=Akar Mehmet,[Real-time multiple-model estimation of centre of gravity position in automotive vehicles],[VEHICLE SYSTEM DYNAMICS],[2008],"[centre of gravity estimation, rollover, multiple models, switched systems]"
6205,AU=Akar Mehmet,[Lateral dynamics emulation via a four-wheel steering vehicle],[VEHICLE SYSTEM DYNAMICS],[2008],"[vehicle emulation, lateral dynamics control, four-wheel steering]"
6206,AU=Akar Mehmet,[Distributed Probabilistic synchronization algorithms for communication networks],[IEEE TRANSACTIONS ON AUTOMATIC CONTROL],[2008],"[common Lyapunov function, consensus, scrambling matrix, switched systems, synchronization]"
6207,AU=Ozcep Tazegul,[A Review on Artificial Intelligence Based Parameter Forecasting for Soil-Water Content],[MACHINE LEARNING AND DATA MINING IN PATTERN RECOGNITION (MLDM 2016)],[2016],"[Fuzzy logic applications, AI, Mamdani and Sugeno approaches, Geophysical and geotechnical data]"
6208,AU=Ozcep Tazegul,"[Liquefaction-induced settlement, site effects and damage in the vicinity of Yalova City during the 1999 Izmit earthquake, Turkey]",[JOURNAL OF EARTH SYSTEM SCIENCE],[2014],"[Earthquakes, structural damage, V(S)30, soil liquefaction, soil effect]"
6209,AU=Ozcep Tazegul,"[V(S)30, site amplifications and some comparisons: The Adapazari (Turkey) case]",[PHYSICS AND CHEMISTRY OF THE EARTH],[2013],"[V(S)30, Site effects, Seismic design codes, Adapazari]"
6210,AU=Kaya Mine,[Oral L-arginine protects against cyclosporine-induced hepatotoxicity in rats],[EXPERIMENTAL AND TOXICOLOGIC PATHOLOGY],[2008],"[CyA, nitric oxide, L-arg, L-NAME, hepatotoxicity]"
6211,AU=Kaya Mine,[Usage of coal combustion bottom ash in concrete mixture],[CONSTRUCTION AND BUILDING MATERIALS],[2008],"[coal bottom ash, Portland cement, unburned carbon, treatment, concrete]"
6212,AU=Kaya Mine,"[Prevalence of depressive symptoms, ways of coping, and related factors among medical school and health services higher education students]",[TURK PSIKIYATRI DERGISI],[2007],"[depression, depressive symptoms, coping skills, medical students]"
6213,AU=Kaya Mine,[Surrogate-Based Optimization of Firing Angles for Switched Reluctance Motor],[2018 IEEE TRANSPORTATION AND ELECTRIFICATION CONFERENCE AND EXPO (ITEC)],[2018],
6214,AU=Kaya Mine,[Rapid Optimization of External Quantum Efficiency of Thin Film Solar Cells Using Surrogate Modeling of Absorptivity],[SCIENTIFIC REPORTS],[2018],
6215,AU=Sezgin Fikriye Milletli,"[Isolation and characterization of Beauveria and Metarhizium spp. from walnut fields and their pathogenicity against the codling moth, Cydia pomonella (NL.) (Lepidoptera: Tortricidae)]",[EGYPTIAN JOURNAL OF BIOLOGICAL PEST CONTROL],[2018],"[Entomopathogenic fungi, Pathogenicity, Walnut, Codling moth, Cydia pomonella]"
6216,AU=Sezgin Fikriye Milletli,[Aerobic gut bacterial flora of Cydia pomonella (L.) (Lepidoptera: Tortricidae) and their virulence to the host],[EGYPTIAN JOURNAL OF BIOLOGICAL PEST CONTROL],[2018],"[Bacteria, Codling moth, Cydia pomonella, Virulence, Microbial control]"
6217,AU=Sezgin Fikriye Milletli,[Catheter-Related Bacteremia in a Hemodialysis Unit: Cronobacter Sakazakii],[TURKISH NEPHROLOGY DIALYSIS AND TRANSPLANTATION JOURNAL],[2018],"[Cronobacter sakazakii, Bacteremia, Catheter-related infections]"
6218,AU=Sezgin Fikriye Milletli,[Same-day Detection of Methicillin Resistance in Staphylococcus aureus Isolates by StaResMet (R) Kit],[JUNDISHAPUR JOURNAL OF MICROBIOLOGY],[2017],"[Methicillin-susceptible S. aureus, Rapid Detection, Methicillin-resistant Staphylococcus aureus]"
6219,AU=Sezgin Fikriye Milletli,[EFFECTS OF CLINICAL BREAKPOINT CHANGES IN TRANSITION FROM CLSI TO EUCAST FOR ANTIBIOTIC SUSCEPTIBILITY TEST REPORTING OF PSEUDOMONAS AERUGINOSA ISOLATES: A LOCAL STUDY IN TURKEY],[ACTA MEDICA MEDITERRANEA],[2017],"[Pseudomonas aeruginosa, antimicrobial susceptibility tests, Clinical Laboratory Standards Institute (CLSI), European Committee on Antimicrobial Susceptibility Testing (EUCAST).]"
6220,AU=Martin Lisandra L.,"[AFM study of morphological changes associated with electrochemical solid-solid transformation of three-dimensional crystals of TCNQ to metal derivatives (metal=Cu, Co, Ni; TCNQ=tetracyanoquinodimethane)]",[JOURNAL OF SOLID STATE ELECTROCHEMISTRY],[2008],"[in situ AFM, ex situ SEM, TCNQ, metal TCNQ complexes, electrochemical solid-solid transformation]"
6221,AU=Martin Lisandra L.,[Cholesterol and anionic phospholipids increase the binding of amyloidogenic transthyretin to lipid membranes],[BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES],[2008],"[transthyretin (TTR), cholesterol, phospholipid, aggregation, amyloid, binding]"
6222,AU=Martin Lisandra L.,[Electrochemical quartz crystal microbalance study of azurin adsorption onto an alkanethiol self-assembled monolayer on gold],[LANGMUIR],[2008],
6223,AU=Martin Lisandra L.,[Specific and selective peptide-membrane interactions revealed using quartz crystal microbalance],[BIOPHYSICAL JOURNAL],[2007],
6224,AU=Martin Lisandra L.,"[Tetrachlorido-1 kappa Cl,2 kappa Cl-2,3 kappa Cl-bis-[mu-4-undecyl-1,4,7-triazacyclonon-1-yl)acetato]-1 kappa(4) N,N ',N '',O : 2 kappa O ';2 kappa O ':-3 kappa(4) N,N ',N '',O-tricopper(II) dihydrate]",[ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE],[2007],
6225,AU=Rossjohn Jamie,[Incorporation of a non-human glycan mediates human susceptibility to a bacterial toxin],[NATURE],[2008],
6226,AU=Rossjohn Jamie,[Structural and Biochemical Characterization of the Oxidoreductase NmDsbA3 from Neisseria meningitidis],[JOURNAL OF BIOLOGICAL CHEMISTRY],[2008],
6227,AU=Rossjohn Jamie,[Crystal structure of a UDP-glucose-specific glycosyltransferase from a Mycobacterium Species],[JOURNAL OF BIOLOGICAL CHEMISTRY],[2008],
6228,AU=Rossjohn Jamie,[T-cells behaving badly: structural insights into alloreactivity and autoimmunity],[CURRENT OPINION IN IMMUNOLOGY],[2008],
6229,AU=Rossjohn Jamie,"[Human leukocyte antigen class I-restricted activation of CD8(+) T cells provides the immunogenetic basis of a systemic drug hypersensitivity (vol 28, pg 822, 2008)]",[IMMUNITY],[2008],
6230,AU=Akhurst Jacqui,[Community-Based Learning and Critical Community Psychology Practice: Conducive and Corrosive Aspects],[JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY],[2017],"[community-based learning, critical community psychology practice, power, cultural voyeurism]"
6231,AU=Akhurst Jacqui,"[Embedding Community-Based Service Learning into Psychology Degrees at UKZN, South Africa]",[EDUCATIONAL RESEARCH FOR SOCIAL CHANGE],[2016],"[Community-based, service learning, curricular integration, community engagement in higher education, reflective learning]"
6232,AU=Akhurst Jacqui,['I wouldn't dream of ending with a client in the way he did to me': An exploration of supervisees' experiences of an unplanned ending to the supervisory relationship],[COUNSELLING & PSYCHOTHERAPY RESEARCH],[2015],"[interpretative phenomenological analysis, supervisee experience, supervisory relationship, unplanned ending]"
6233,AU=Akhurst Jacqui,[Locked into the System? Critical Community Psychology Approaches to Personal Debt in the Context of Crises of Capital Accumulation],[JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY],[2015],"[debt, critical, globalisation, neoliberalism]"
6234,AU=Akhurst Jacqui,[Polish Young Peoples' Narratives: Impacts of Living and Studying in the UK],[INTERNATIONAL MIGRATION],[2014],
6235,AU=Yang Linfeng,[The effect of temperature and content of conductive filler on the conductivity of conductive rubber],"[PHYSICAL AND NUMERICAL SIMULATION OF MATERIALS PROCESSING, PTS 1 AND 2]",[2008],"[carbon black, resistance, content]"
6236,AU=Yang Linfeng,[Deposition and applications of high performance YF3 thin films - art. no. 67223Q],"[ADVANCED OPTICAL MANUFACTURING TECHNOLOGIES, PTS 1 AND 2]",[2007],"[YF3, IAD, optical films, environmental test, AR coating]"
6237,AU=Yang Linfeng,[1.06 mu M/LWIR dual band antireflection coatings for optical windows - art. no. 67223E],"[ADVANCED OPTICAL MANUFACTURING TECHNOLOGIES, PTS 1 AND 2]",[2007],"[ZnS, IAD, dual band antireflective coatings, resonance field, damage threshold]"
6238,AU=Yang Linfeng,[Quantum transport through finite length double-walled carbon nanotubes],[PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS],[2006],
6239,AU=Yang Linfeng,[A novel negative feedback information dissemination model based on online social network],[PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS],[2019],"[Online social network, Information dissemination, Negative feedback, Life cycle]"
6240,AU=Serdar Muhittin,[Tourniquet Application Time During Phlebotomy and The Influence on Clinical Chemistry Testing; Is It Negligible?],[TURKISH JOURNAL OF BIOCHEMISTRY-TURK BIYOKIMYA DERGISI],[2008],"[venipuncture, tourniquet time, laboratory test, analytical precision]"
6241,AU=Serdar Muhittin,[Decreased oxidation susceptibility of plasma low density lipoproteins in patients with Gilbert's syndrome],[JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY],[2008],"[bilirubin, Gilbert's syndrome, low-density lipoprotein (LDL) oxidation]"
6242,AU=Serdar Muhittin,[Protective effects of diets supplemented with omega-3 polyunsaturated fatty acids and calcium against colorectal tumor formation],[DIGESTIVE DISEASES AND SCIENCES],[2008],"[omega-3 polyunsaturated fatty acid, calcium, colorectal cancer, oxidative stress]"
6243,AU=Serdar Muhittin,[Eisenmenger syndrome: identifying the clues for arrhythmia],[ANADOLU KARDIYOLOJI DERGISI-THE ANATOLIAN JOURNAL OF CARDIOLOGY],[2008],"[arrhythmia, Eisenmenger syndrome, electrocardiography, QT interval, heart rate variability]"
6244,AU=Serdar Muhittin,[Rapid access to information resources in clinical biochemistry: medical applications of Personal Digital Assistants (PDA)],[CLINICAL AND EXPERIMENTAL MEDICINE],[2008],"[personal digital assistants (PDA), medical software]"
6245,AU=Turkmen Arif,[A free radical scavenger (Tempol) and its effect on intimal hyperplasia of vein grafts in rats],[ULUSAL TRAVMA VE ACIL CERRAHI DERGISI-TURKISH JOURNAL OF TRAUMA & EMERGENCY SURGERY],[2018],"[Intimal hyperplasia, microsurgery, reactive oxygen species, Tempol, vein graft]"
6246,AU=Turkmen Arif,[Algorithmic approach to the prevention of unnecessary fasciotomy in extremity snake bite],[INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED],[2016],"[Adder bite, Snake bite, Compartment syndrome, Finger defect, Revers dorsal metacarpal flap, Envenoming management]"
6247,AU=Turkmen Arif,[Response to Comment on ''Effects of Reduction Mammaplasty Operations on the Spinal Column: Clinical and Radiological Response''],[AESTHETIC PLASTIC SURGERY],[2016],
6248,AU=Turkmen Arif,[Improvements in Vertebral-Column Angles and Psychological Metrics After Abdominoplasty With Rectus Plication],[AESTHETIC SURGERY JOURNAL],[2016],
6249,AU=Turkmen Arif,[A novel tumor suppressor gene in basal cell carcinoma: inhibition of growth factor-2],[TUMOR BIOLOGY],[2015],"[Basal cell carcinomas, Tumor suppressor genes, ING gene family, Skin cancer, UV radiation]"
6250,AU=Sengul Ahmet Yusuf,[Factors Affecting Organic Product Consumption (Diyarbakir Case)],[KAHRAMANMARAS SUTCU IMAM UNIVERSITY JOURNAL OF NATURAL SCIENCES],[2017],"[Organic farming, product preferences, consumer behavior, Diyarbakir]"
6251,AU=Sengul Ahmet Yusuf,[Usability of CART algorithm for determining egg quality characteristics influencing fertility in the eggs of Japanese quail],[REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE],[2016],"[data mining algorithm, quail egg, hatchability]"
6252,AU=Sengul Ahmet Yusuf,[Fatty Acid Composition of the Seeds of Some Vicia Species],[CHEMISTRY OF NATURAL COMPOUNDS],[2016],
6253,AU=Sengul Ahmet Yusuf,[Interpolation method for live weight estimation based on age in Japanese quails],[REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE],[2016],"[error calculation, Newton interpolation, quail]"
6254,AU=Sengul Ahmet Yusuf,[Using juniper berry (Juniperus communis) as a supplement in Japanese quail diets],[REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE],[2016],"[aromatic plant, carcass traits, growth performance]"
6255,AU=Altundas Ramazan,"[Identification of a butyrophenone analog as a potential atypical antipsychotic agent: 4-[4-(4-Chlorophenyl)-1,4-diazepan-1-yl]-1(4-fluorophenyl)butan-1-one]",[BIOORGANIC & MEDICINAL CHEMISTRY],[2008],"[haloperidol, antipsychotics, butyrophenone, dopamine receptor ligands, serotonin receptor ligands, D2-like receptor ligands, diazepane, atypical antipsychotics]"
6256,AU=Altundas Ramazan,[An efficient synthesis of (R)-GABOB and of (+/-)-GABOB],[ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL],[2007],
6257,AU=Altundas Ramazan,[Reaction of (S)-homoserine lactone with Grignard reagents: synthesis of amino-keto-alcohols and beta-amino acid derivatives],[TETRAHEDRON-ASYMMETRY],[2017],
6258,AU=Altundas Ramazan,[Preparation of arylmagnesium/lithium from aryl bromides and their coupling and substitution reactions in tetrahydrofuran],[APPLIED ORGANOMETALLIC CHEMISTRY],[2017],"[2-aryltetrahydrofuran, coupling reaction, n-butylbenzene, substitution reaction]"
6259,AU=Altundas Ramazan,[Syntheses and evaluation of multicaulin and miltirone-like compounds as antituberculosis agents],[JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY],[2017],"[Multicaulin, miltirone, synthesis, antituberculosis]"
6260,AU=Ozkan Atilla,[Extramedullary plasmacytoma involving the abdominal vessels and pancreas],[DIGESTIVE DISEASES AND SCIENCES],[2007],
6261,AU=Ozkan Atilla,[Bortezomib and extramedullary disease in multiple myeloma: The shine and dark side of the moon],[LEUKEMIA RESEARCH],[2007],
6262,AU=Ozkan Atilla,[Efficacy of bortezomib in combination chemotherapy on secondary plasma cell leukemia],[LEUKEMIA & LYMPHOMA],[2007],
6263,AU=Ozkan Atilla,[Hairy cell leukemia presenting with Guillain-Barre syndrome],[LEUKEMIA & LYMPHOMA],[2007],
6264,AU=Ozkan Atilla,[Profuse erythema multiforme induced by chlorambucil],[ANNALS OF HEMATOLOGY],[2007],
6265,AU=Coban Sahin,[Inlet patch: Associations with endoscopic findings in the upper gastrointestinal system],[SCANDINAVIAN JOURNAL OF GASTROENTEROLOGY],[2008],"[Barrett's esophagus, ectopic gastric tissue, esophagus, heterotopic gastric tissue, inlet patch, open cardia]"
6266,AU=Coban Sahin,[Thrombosis of the portal venous system - A prospective study],[JOURNAL OF CLINICAL GASTROENTEROLOGY],[2008],"[thrombosis, portal vein, splenic vein, portal hypertension]"
6267,AU=Coban Sahin,[Adjuvant therapeutic plasma exchange in liver failure - Assessments of clinical and laboratory parameters],[JOURNAL OF CLINICAL GASTROENTEROLOGY],[2008],"[therapeutic plasma exchange, liver failure, liver assist device]"
6268,AU=Coban Sahin,[A tale of two cities - Typical celiac sprue presenting symptoms are significantly more common in Turkish than in US patients],[JOURNAL OF CLINICAL GASTROENTEROLOGY],[2008],"[celiac disease, anemia, malabsorption]"
6269,AU=Coban Sahin,[Low dose amiodarone associated cirrhosis],[JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY],[2007],
6270,AU=Adisen Serhat,[Examinations of casting cracks in a high alloy steel valve],[MATERIALS TESTING],[2016],"[Valve failures, casting, heat treatment, high alloyed steel, metallurgical examination]"
6271,AU=Aliefendioglu Didem,[Transposition of the great arteries in a newborn whose mother was treated with carbamazepine during pregnancy],[ANADOLU KARDIYOLOJI DERGISI-THE ANATOLIAN JOURNAL OF CARDIOLOGY],[2007],
6272,AU=Aliefendioglu Didem,[A rare umbilical anomaly: Trunk like umbilicus],[JOURNAL OF PAEDIATRICS AND CHILD HEALTH],[2008],
6273,AU=Aliefendioglu Didem,[Breast-feeding-associated hypernatremia: Retrospective analysis of 169 term newborns],[PEDIATRICS INTERNATIONAL],[2008],"[breast-feeding, dehydration, hypernatremia, neonate]"
6274,AU=Aliefendioglu Didem,"[A newborn with VLCAD deficiency Clinical, biochemical, and histopathological findings]",[EUROPEAN JOURNAL OF PEDIATRICS],[2007],"[cardiomyopathy, hepatopathy, hypoketotic hypoglycemia, newborn, VLCAD deficiency]"
6275,AU=Aliefendioglu Didem,[Do cerebral blood flow velocities change in iron deficiency anemia?],[JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY],[2007],"[transcranial color-coded duplex sonography (TCCS), ultrasonography, cerebral artery velocity, children, iron deficiency anemia]"
6276,AU=Ozturk Serdar,[Dissection of the expander pocket for burn scar alopesia treatment with the aid of urologic instrument and a Foley catheter],[JOURNAL OF BURN CARE & RESEARCH],[2008],
6277,AU=Ozturk Serdar,[The struggle over Turkish village coffeehouses (1923-45)],[MIDDLE EASTERN STUDIES],[2008],
6278,AU=Ozturk Serdar,[Aesthetic and functional restoration using dorsal saddle shaped Medpor implant in secondary rhinoplasty],[ANNALS OF PLASTIC SURGERY],[2008],"[secondary rhinoplasty, saddle nose deformity, Medpor, porous polyethylene]"
6279,AU=Ozturk Serdar,[A new composite flap: Rectus abdominis muscle flap harvested with pubic bone segment - Anatomic considerations],[JOURNAL OF RECONSTRUCTIVE MICROSURGERY],[2007],"[rectus abdominis flap, pubic bone, composite flap, osseomuscular flap, cadaver]"
6280,AU=Ozturk Serdar,[Imaging of porous polyethylene implant by using multidetector spiral computed tomography],[JOURNAL OF CRANIOFACIAL SURGERY],[2008],"[porous polyethylene implant, Medpor, multidetector spiral CT, MDCT]"
6281,AU=Ryan David P.,[Activity of sunitinib in patients with advanced neuroendocrine tumors],[JOURNAL OF CLINICAL ONCOLOGY],[2008],
6282,AU=Ryan David P.,[MDM2 promoter polymorphism and pancreatic cancer risk and prognosis],[CLINICAL CANCER RESEARCH],[2008],
6283,AU=Ryan David P.,[Bortezomib with or without irinotecan in relapsed or refractory colorectal cancer: Results from a randomized phase II study],[JOURNAL OF CLINICAL ONCOLOGY],[2008],
6284,AU=Ryan David P.,[Quality of life in pancreatic cancer: Analysis by stage and treatment],[JOURNAL OF GASTROINTESTINAL SURGERY],[2008],"[pancreatic cancer, quality of life, meaningful important difference, palliation, survival]"
6285,AU=Ryan David P.,"[Rectal cancer at the crossroads: The dilemma of clinically staged T3, N0,M0 disease]",[JOURNAL OF CLINICAL ONCOLOGY],[2008],
6286,AU=Iskeleli Nazan Ocak,[Crystallographic and conformational analysis of (E)-2-isopropyl-4-(p-tolyldiazenyl)phenol],[STRUCTURAL CHEMISTRY],[2008],"[azo benzene, DFT/B3LYP, conformational analysis, crystal structure]"
6287,AU=Iskeleli Nazan Ocak,[(Z)-ethyl 2-[2-(4-acetylphenyl)hydrazono]4-chloro-3-oxobutanoate],[ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE],[2007],
6288,AU=Iskeleli Nazan Ocak,"[4,6-Dimethyl-2-thioxo-1,2-dihydropyridine3-carbonitrile]",[ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE],[2007],
6289,AU=Iskeleli Nazan Ocak,[(E)-2-[(2-methoxyphenylimino)methyl]-4-methylphenol],[ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE],[2007],
6290,AU=Iskeleli Nazan Ocak,[4-(m-tolyloxy) phthalonitrile],[ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE],[2007],
6291,AU=Ogretmen Zerrin,"[Authors reply to Letter to the Editor-In response to: ""Ersan I, Kilic S, Arikan S, et al. Evaluation of macular ganglion cell-inner plexiform layer and choroid in psoriasis patients using enhanced depth imaging spectral domain optical coherence tomography""]",[OCULAR IMMUNOLOGY AND INFLAMMATION],[2017],
6292,AU=Ogretmen Zerrin,[Evaluation of Macular Ganglion Cell-inner Plexiform Layer and Choroid in Psoriasis Patients Using Enhanced Depth Imaging Spectral Domain Optical Coherence Tomography],[OCULAR IMMUNOLOGY AND INFLAMMATION],[2017],"[Choroidal thickening, macular ganglion cell layer, psoriasis area and severity index, systemic inflammation, tumor necrosis factor alpha]"
6293,AU=Ogretmen Zerrin,[Skin Prick Test Results of Canakkale Onsekizmart University Faculty of Medicine Dermatology Department],[JOURNAL OF CLINICAL AND ANALYTICAL MEDICINE],[2015],"[Prick Test, Atopy, Allergy]"
6294,AU=Ogretmen Zerrin,[308G/A and 238G/A polymorphisms in the TNF-alpha gene may not contribute to the risk of arthritis among Turkish psoriatic patients],[EGYPTIAN RHEUMATOLOGIST],[2016],"[Psoriasis, Psoriatic arthritis, TNF-alpha-308G/A promoter polymorphism, TNF-alpha-238G/A promoter polymorphism, Tumor necrosis factor (TNF alpha), PASI]"
6295,AU=Ogretmen Zerrin,[Association between mean platelet volume and disease severity in patients with psoriasis and psoriatic arthritis],[POSTEPY DERMATOLOGII I ALERGOLOGII],[2017],"[mean platelet volume, psoriasis, psoriatic arthritis, mean platelet volume, psoriasis severity score]"
6296,AU=Portakal Ziyafer Gizem,[Heating rate properties and kinetic parameters of thermoluminescence glow curves of La-doped zinc borate],[RADIATION PHYSICS AND CHEMISTRY],[2018],"[Thermoluminescence, Anomalous heating rate, ZnB2O4:La, Reusability, Activation energy]"
6297,AU=Portakal Ziyafer Gizem,[Design and characterization of tissue-mimicking gel phantoms for diffusion kurtosis imaging],[MEDICAL PHYSICS],[2018],"[diffusion, kurtosis, MRI]"
